font,avg_thickness (px),min_thickness (px),max_thickness (px),avg_angle_to_bottom (deg),min_angle_to_bottom (deg),max_angle_to_bottom (deg),avg_angle_between_lines (deg),min_angle_between_lines (deg),max_angle_between_lines (deg),avg_num_curves
ArialCE,5.551280231131267,1.0,68.0,87.68384432869085,0.0,180.0,-7.106749905983183,-315.0,315.0,72.86111111111111
arialceb,5.710212536186764,1.0,68.0,87.14481681611026,0.0,180.0,-7.217404781902442,-315.0,315.0,70.63888888888889
ArialCEBoldItalic,2.6214369091731853,1.0,41.0,89.1042694141972,0.0,180.0,-2.6246958339050384,-315.0,315.0,94.80555555555556
ArialCEItalic,2.5990331964235533,1.0,40.0,88.75385814600219,0.0,180.0,-2.6445288122683976,-315.0,315.0,97.36111111111111
ArialCEMTBlack,6.258401259367228,1.0,69.0,87.57368962540035,0.0,180.0,-7.405503771277712,-315.0,315.0,73.30555555555556
ArialMdm,5.4748532277286275,1.0,63.0,87.08207854780214,0.0,180.0,-7.597472286531723,-315.0,315.0,66.94444444444444
ArialMdmItl,2.595148028623926,1.0,38.0,88.93990111479991,0.0,180.0,-2.707132596510536,-315.0,315.0,89.22222222222223
Caveat-Bold,2.0967008834356156,1.0,28.284271247461902,89.25859150403579,0.0,180.0,-3.115276288641517,-315.0,315.0,87.72222222222223
Caveat-Medium,2.1056951629501928,1.0,24.041630560342615,88.98571702319437,0.0,180.0,-3.272668518238117,-315.0,315.0,86.47222222222223
Caveat-Regular,2.0712812191127665,1.0,25.45584412271571,88.77412379717876,0.0,180.0,-3.209771597311694,-315.0,315.0,86.5
Caveat-SemiBold,2.1199027508995387,1.0,22.0,88.72277167327073,0.0,180.0,-2.975333346341173,-315.0,315.0,86.30555555555556
Cookie-Regular,2.4127713278447716,1.0,33.0,87.68160896638608,0.0,180.0,-2.8651194967100855,-315.0,315.0,90.02777777777777
EduAUVICWANTDots-Bold,1.809402441831995,1.0,7.0710678118654755,88.59444109899535,0.0,180.0,-1.3554348179250342,-315.0,315.0,185.27777777777777
EduAUVICWANTDots-Medium,1.7758008239700223,1.0,7.0710678118654755,88.92770741590778,0.0,180.0,-1.1674695007393103,-315.0,315.0,211.77777777777777
EduAUVICWANTDots-Regular,1.7672017667691986,1.0,4.242640687119285,85.48112002889106,0.0,180.0,-1.1646237000308315,-315.0,315.0,213.38888888888889
EduAUVICWANTDots-SemiBold,1.7897816139161395,1.0,5.656854249492381,89.63976163703863,0.0,180.0,-1.23781585877885,-315.0,315.0,197.47222222222223
HomemadeApple-Regular,2.1141440948542876,1.0,25.45584412271571,90.01211460117662,0.0,180.0,-1.7391304559699732,-315.0,315.0,160.27777777777777
Ldfcomicsans-jj7l,3.141127447812591,1.0,72.0,89.24636414284873,0.0,180.0,-3.9786792103648145,-315.0,315.0,85.72222222222223
Ldfcomicsansbold-zgma,3.1251113206670573,1.0,73.0,88.21339237887656,0.0,180.0,-3.5437341228977908,-315.0,315.0,88.02777777777777
Ldfcomicsanshairline-5PmL,3.5990321598947963,1.0,70.0,86.63042485397669,0.0,180.0,-4.002992607576196,-315.0,315.0,77.88888888888889
Ldfcomicsanslight-6dZo,3.3552199216944416,1.0,70.0,87.21490046018435,0.0,180.0,-4.525176452300372,-315.0,315.0,81.75
NothingYouCouldDo-Regular,2.098254676668952,1.0,28.284271247461902,88.73469397599143,0.0,180.0,-2.670831613143852,-315.0,315.0,105.83333333333333
