Font Name,Default Character Spacing (Advance Width)
ArialCE,546.5045045045046
arialceb,1143.7926267281107
ArialCEBoldItalic,561.2186046511628
ArialCEItalic,537.2976744186046
ArialCEMTBlack,1268.7837837837837
ArialMdm,490.0954545454546
ArialMdmItl,481.70454545454544
Caveat-Bold,442.27091633466136
Caveat-Medium,438.0836653386454
Caveat-Regular,436.00132802124836
Caveat-SemiBold,440.18857901726426
Cookie-Regular,398.60956175298804
EduAUVICWANTDots-Bold,1276.9375
EduAUVICWANTDots-Medium,1225.0
EduAUVICWANTDots-Regular,1179.65625
EduAUVICWANTDots-SemiBold,1257.453125
HomemadeApple-Regular,596.1484716157205
Ldfcomicsans-jj7l,513.93
Ldfcomicsansbold-zgma,520.67
Ldfcomicsanshairline-5PmL,481.81
Ldfcomicsanslight-6dZo,497.4
NothingYouCouldDo-Regular,533.2
PinyonScript-Regular,1007.7120211360634
PlaywriteGBS-ExtraLight,613.3971193415638
PlaywriteGBS-ExtraLightItalic,613.40329218107
PlaywriteGBS-Italic,614.201646090535
PlaywriteGBS-Light,613.843621399177
PlaywriteGBS-LightItalic,613.7469135802469
PlaywriteGBS-Regular,614.3786008230453
PlaywriteGBS-Thin,612.8621399176955
PlaywriteGBS-ThinItalic,612.948559670782
ReenieBeanie-Regular,383.725
Roboto-Black,1202.674107142857
Roboto-BlackItalic,1176.5479910714287
Roboto-Bold,1191.6685267857142
Roboto-BoldItalic,1165.9051339285713
Roboto-Italic,1142.1495535714287
Roboto-Light,1148.619419642857
Roboto-LightItalic,1124.1138392857142
Roboto-Medium,1181.1104910714287
Roboto-MediumItalic,1155.6607142857142
Roboto-Regular,1167.2064732142858
Roboto-Thin,1130.5234375
Roboto-ThinItalic,1106.5301339285713
RockSalt-Regular,775.431718061674
times new roman bold italic,1081.5114155251142
times new roman bold,1192.7702702702702
times new roman italic,1068.2607142857144
times new roman,1191.617117117117
