font,avg_thickness (px),min_thickness (px),max_thickness (px),avg_angle_to_bottom (deg),min_angle_to_bottom (deg),max_angle_to_bottom (deg),avg_angle_between_lines (deg),min_angle_between_lines (deg),max_angle_between_lines (deg),avg_num_curves
Caveat-Bold,2.0967008834356156,1.0,28.284271247461902,89.25859150403579,0.0,180.0,-3.115276288641517,-315.0,315.0,87.72222222222223
Caveat-Medium,2.1056951629501928,1.0,24.041630560342615,88.98571702319437,0.0,180.0,-3.272668518238117,-315.0,315.0,86.47222222222223
Caveat-Regular,2.0712812191127665,1.0,25.45584412271571,88.77412379717876,0.0,180.0,-3.209771597311694,-315.0,315.0,86.5
Caveat-SemiBold,2.1199027508995387,1.0,22.0,88.72277167327073,0.0,180.0,-2.975333346341173,-315.0,315.0,86.30555555555556
Ldfcomicsans-jj7l,3.141127447812591,1.0,72.0,89.24636414284873,0.0,180.0,-3.9786792103648145,-315.0,315.0,85.72222222222223
Ldfcomicsansbold-zgma,3.1251113206670573,1.0,73.0,88.21339237887656,0.0,180.0,-3.5437341228977908,-315.0,315.0,88.02777777777777
Ldfcomicsanshairline-5PmL,3.5990321598947963,1.0,70.0,86.63042485397669,0.0,180.0,-4.002992607576196,-315.0,315.0,77.88888888888889
Ldfcomicsanslight-6dZo,3.3552199216944416,1.0,70.0,87.21490046018435,0.0,180.0,-4.525176452300372,-315.0,315.0,81.75
PlaywriteGBS-Light,3.5999712642335737,1.0,85.0,89.81355726463369,0.0,180.0,-3.8598754542727187,-315.0,315.0,89.63888888888889
Roboto-BlackItalic,2.799229620604668,1.0,46.0,88.9606530106982,0.0,180.0,-2.8471675064882573,-315.0,315.0,86.94444444444444
times new roman,3.258067468054024,1.0,64.0,95.2971644923435,0.0,180.0,-3.2814685979961014,-315.0,315.0,82.05555555555556
times new roman bold,3.438967486094057,1.0,61.0,91.49618142776228,0.0,180.0,-3.663494917577524,-315.0,315.0,77.80555555555556
times new roman bold italic,2.34548637803981,1.0,48.08326112068523,88.95115844478852,0.0,180.0,-2.4867735354835783,-315.0,315.0,101.61111111111111
