Name,Slant Value,Output,Text Detected
-10_Slant.png,-10,KARA,1
-11_Slant.png,-11,AARRA,1
-12_Slant.png,-12,KARA,1
-13_Slant.png,-13,KARR,1
-14_Slant.png,-14,KRRARK,1
-15_Slant.png,-15,KRRABR,1
-16_Slant.png,-16,BRRAKR,1
-17_Slant.png,-17,BRAK,1
-18_Slant.png,-18,BRAK,1
-19_Slant.png,-19,BWRAR,1
-1_Slant.png,-1,AAAA,1
-20_Slant.png,-20,WRB,1
-21_Slant.png,-21,RRAW,1
-22_Slant.png,-22,RRRBA,1
-23_Slant.png,-23,RWWA,1
-24_Slant.png,-24,RRRW,1
-25_Slant.png,-25,RRA,1
-26_Slant.png,-26,RRA,1
-27_Slant.png,-27,NRW,1
-28_Slant.png,-28,Nw,1
-29_Slant.png,-29,NW,1
-2_Slant.png,-2,AAAA,1
-30_Slant.png,-30,NR,1
-31_Slant.png,-31,ikke.,1
-32_Slant.png,-32,Nisss.,1
-33_Slant.png,-33,Xess.,1
-34_Slant.png,-34,Ss,1
-35_Slant.png,-35,Ne,1
-36_Slant.png,-36,Nast,1
-37_Slant.png,-37,Ss,1
-38_Slant.png,-38,SSS,1
-39_Slant.png,-39,Ss,1
-3_Slant.png,-3,AAAA,1
-40_Slant.png,-40,SSS,1
-41_Slant.png,-41,SSS,1
-42_Slant.png,-42,SSS,1
-43_Slant.png,-43,ESS,1
-44_Slant.png,-44,ESS,1
-45_Slant.png,-45,ESS,1
-46_Slant.png,-46,SSS,1
-47_Slant.png,-47,SESS,1
-48_Slant.png,-48,SESS,1
-49_Slant.png,-49,SSS,1
-4_Slant.png,-4,AAAA,1
-50_Slant.png,-50,————,1
-51_Slant.png,-51,SSSR,1
-52_Slant.png,-52,—————,1
-53_Slant.png,-53,SSS,1
-54_Slant.png,-54,SSS,1
-55_Slant.png,-55,SSS,1
-56_Slant.png,-56,SSS,1
-57_Slant.png,-57,Ss,1
-58_Slant.png,-58,=,1
-59_Slant.png,-59,—SSS==_,1
-5_Slant.png,-5,AAAA,1
-60_Slant.png,-60,,0
-6_Slant.png,-6,AAAA,1
-7_Slant.png,-7,AAAA,1
-8_Slant.png,-8,KAAA,1
-9_Slant.png,-9,KARA,1
0_Slant.png,0,AAAA,1
10_Slant.png,10,AAAA,1
11_Slant.png,11,AAAA,1
12_Slant.png,12,AAAA,1
13_Slant.png,13,AAAA,1
14_Slant.png,14,AAAA,1
15_Slant.png,15,AAAA,1
16_Slant.png,16,AAAA,1
17_Slant.png,17,AAAA,1
18_Slant.png,18,AAAA,1
19_Slant.png,19,AAAA,1
1_Slant.png,1,AAAA,1
20_Slant.png,20,AAAA,1
21_Slant.png,21,AAAA,1
22_Slant.png,22,AAAA,1
23_Slant.png,23,AAAA,1
24_Slant.png,24,AAAA,1
25_Slant.png,25,AAA,1
26_Slant.png,26,AAA,1
27_Slant.png,27,AAA,1
28_Slant.png,28,AAA,1
29_Slant.png,29,AAAT,1
2_Slant.png,2,AAAA,1
30_Slant.png,30,AAA,1
31_Slant.png,31,AAA DF,1
32_Slant.png,32,AAAS,1
33_Slant.png,33,AAA,1
34_Slant.png,34,AAAS,1
35_Slant.png,35,AAAS,1
36_Slant.png,36,AAAS,1
37_Slant.png,37,AAAS,1
38_Slant.png,38,AAAI,1
39_Slant.png,39,LIA I,1
3_Slant.png,3,AAAA,1
40_Slant.png,40,AAAI,1
41_Slant.png,41,AAAI,1
42_Slant.png,42,PIII,1
43_Slant.png,43,LAI I,1
44_Slant.png,44,LAAI,1
45_Slant.png,45,LAA,1
46_Slant.png,46,AAA,1
47_Slant.png,47,—AAAg,1
48_Slant.png,48,AAZAG,1
49_Slant.png,49,AA Ag,1
4_Slant.png,4,AAAA,1
50_Slant.png,50,AA A~“a,1
51_Slant.png,51,LLL”,1
52_Slant.png,52,AA ~“a,1
53_Slant.png,53,LL LEE,1
54_Slant.png,54,eo Aa,1
55_Slant.png,55,LL LEE,1
56_Slant.png,56,,0
57_Slant.png,57,a,1
58_Slant.png,58,,0
59_Slant.png,59,"LLL

Ny
Ny
Ny",1
5_Slant.png,5,AAAA,1
60_Slant.png,60,LEE,1
6_Slant.png,6,AAAA,1
7_Slant.png,7,AAAA,1
8_Slant.png,8,AAAA,1
9_Slant.png,9,AAAA,1
