Font Size,Number of Letters,Letter Spacing,Text Detected
1,5,1.5,0
1,5,1.5,0
2,5,1.5,0
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
15,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
15,5,1.5,1
16,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
15,5,1.5,1
16,5,1.5,1
17,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
15,5,1.5,1
16,5,1.5,1
17,5,1.5,1
18,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
15,5,1.5,1
16,5,1.5,1
17,5,1.5,1
18,5,1.5,1
19,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
15,5,1.5,1
16,5,1.5,1
17,5,1.5,1
18,5,1.5,1
19,5,1.5,1
20,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
15,5,1.5,1
16,5,1.5,1
17,5,1.5,1
18,5,1.5,1
19,5,1.5,1
20,5,1.5,1
21,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
15,5,1.5,1
16,5,1.5,1
17,5,1.5,1
18,5,1.5,1
19,5,1.5,1
20,5,1.5,1
21,5,1.5,1
22,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
15,5,1.5,1
16,5,1.5,1
17,5,1.5,1
18,5,1.5,1
19,5,1.5,1
20,5,1.5,1
21,5,1.5,1
22,5,1.5,1
23,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
15,5,1.5,1
16,5,1.5,1
17,5,1.5,1
18,5,1.5,1
19,5,1.5,1
20,5,1.5,1
21,5,1.5,1
22,5,1.5,1
23,5,1.5,1
24,5,1.5,1
1,5,1.5,0
2,5,1.5,0
3,5,1.5,0
4,5,1.5,0
5,5,1.5,0
6,5,1.5,0
7,5,1.5,1
8,5,1.5,1
9,5,1.5,1
10,5,1.5,1
11,5,1.5,1
12,5,1.5,1
13,5,1.5,1
14,5,1.5,1
15,5,1.5,1
16,5,1.5,1
17,5,1.5,1
18,5,1.5,1
19,5,1.5,1
20,5,1.5,1
21,5,1.5,1
22,5,1.5,1
23,5,1.5,1
24,5,1.5,1
25,5,1.5,1
