Noise Strength,Text Detected,OCR Output,Accuracy
0.01,1,AAAA,100.0
0.02,1,AAAA,100.0
0.03,1,AAAA,100.0
0.04,1,AAAA,100.0
0.05,1,AAAA,100.0
0.07,1,AAAA,100.0
0.08,1,AAAA,100.0
0.09,1,AAAA,100.0
0.1,1,AAAA,100.0
0.2,1,AAAA,100.0
0.3,0,,0.0
0.4,0,,0.0
0.5,0,,0.0
0.6,0,,0.0
0.7,0,,0.0
0.8,0,,0.0
0.9,0,,0.0
0.01,1,AAAA,100.0
0.02,1,AAAA,100.0
0.03,1,AAAA,100.0
0.04,1,AAAA,100.0
0.05,1,AAAA,100.0
0.06,1,AAAA,100.0
0.07,1,AAAA,100.0
0.08,1,AAAA,100.0
0.09,1,AAAA,100.0
0.1,1,AAAA,100.0
0.2,1,AAAA,100.0
0.3,0,,0.0
0.4,0,,0.0
0.5,0,,0.0
0.6,0,,0.0
0.7,0,,0.0
0.8,0,,0.0
0.9,0,,0.0
0.01,1,AAAA,100.0
0.02,1,AAAA,100.0
0.03,1,AAAA,100.0
0.04,1,AAAA,100.0
0.05,1,AAAA,100.0
0.06,1,AAAA,100.0
0.07,1,AAAA,100.0
0.08,1,AAAA,100.0
0.09,1,AAAA,100.0
0.1,1,AAAA,100.0
0.2,1,AAAA,100.0
0.3,0,,0.0
0.4,0,,0.0
0.5,0,,0.0
0.6,0,,0.0
0.7,0,,0.0
0.8,0,,0.0
0.9,0,,0.0
0.2,1,AAAA,100.0
0.21,1,AAAA,100.0
0.22,0,,0.0
0.23,0,,0.0
0.24,0,,0.0
0.25,0,,0.0
0.26,0,,0.0
0.27,0,,0.0
0.28,0,,0.0
0.29,0,,0.0
0.211,1,AAAA,100.0
0.212,1,AAAA,100.0
0.213,1,AAAA,100.0
0.214,1,AAAA,100.0
0.215,1,AAAA,100.0
0.216,1,AAAA,100.0
0.217,1,AAAA,100.0
0.218,1,AAAA,100.0
0.219,1,AAAA,100.0
0.21,1,AAAA,100.0
0.221,0,,0.0
0.222,0,,0.0
0.223,0,,0.0
0.224,0,,0.0
0.225,0,,0.0
0.226,0,,0.0
0.227,0,,0.0
0.228,0,,0.0
0.229,0,,0.0
0.22,0,,0.0
