White Space in px,Text Detected,OCR Output,Accuracy
100,1,AAAA,100.0
10,1,AAAA,100.0
11,1,AAAA,100.0
12,1,AAAA,100.0
13,1,AAAA,100.0
14,1,AAAA,100.0
15,1,AAAA,100.0
16,1,AAAA,100.0
17,1,AAAA,100.0
18,1,AAAA,100.0
19,1,AAAA,100.0
1,0,,0.0
20,1,AAAA,100.0
21,1,AAAA,100.0
22,1,AAAA,100.0
23,1,AAAA,100.0
24,1,AAAA,100.0
25,1,AAAA,100.0
26,1,AAAA,100.0
27,1,AAAA,100.0
28,1,AAAA,100.0
29,1,AAAA,100.0
2,0,,0.0
30,1,AAAA,100.0
31,1,AAAA,100.0
32,1,AAAA,100.0
33,1,AAAA,100.0
34,1,AAAA,100.0
35,1,AAAA,100.0
36,1,AAAA,100.0
37,1,AAAA,100.0
38,1,AAAA,100.0
39,1,AAAA,100.0
3,0,,0.0
40,1,AAAA,100.0
41,1,AAAA,100.0
42,1,AAAA,100.0
43,1,AAAA,100.0
44,1,AAAA,100.0
45,1,AAAA,100.0
46,1,AAAA,100.0
47,1,AAAA,100.0
48,1,AAAA,100.0
49,1,AAAA,100.0
4,0,,0.0
50,1,AAAA,100.0
51,1,AAAA,100.0
52,1,AAAA,100.0
53,1,AAAA,100.0
54,1,AAAA,100.0
55,1,AAAA,100.0
56,1,AAAA,100.0
57,1,AAAA,100.0
58,1,AAAA,100.0
59,1,AAAA,100.0
5,0,,0.0
60,1,AAAA,100.0
61,1,AAAA,100.0
62,1,AAAA,100.0
63,1,AAAA,100.0
64,1,AAAA,100.0
65,1,AAAA,100.0
66,1,AAAA,100.0
67,1,AAAA,100.0
68,1,AAAA,100.0
69,1,AAAA,100.0
6,1,AAAA,100.0
70,1,AAAA,100.0
71,1,AAAA,100.0
72,1,AAAA,100.0
73,1,AAAA,100.0
74,1,AAAA,100.0
75,1,AAAA,100.0
76,1,AAAA,100.0
77,1,AAAA,100.0
78,1,AAAA,100.0
79,1,AAAA,100.0
7,1,AAAA,100.0
80,1,AAAA,100.0
81,1,AAAA,100.0
82,1,AAAA,100.0
83,1,AAAA,100.0
84,1,AAAA,100.0
85,1,AAAA,100.0
86,1,AAAA,100.0
87,1,AAAA,100.0
88,1,AAAA,100.0
89,1,AAAA,100.0
8,1,AAAA,100.0
90,1,AAAA,100.0
91,1,AAAA,100.0
92,1,AAAA,100.0
93,1,AAAA,100.0
94,1,AAAA,100.0
95,1,AAAA,100.0
96,1,AAAA,100.0
97,1,AAAA,100.0
98,1,AAAA,100.0
99,1,AAAA,100.0
9,1,AAAA,100.0
