Noise Strength,Text Detected,OCR Output,Accuracy
0.0001,1,AAAA,100.0
0.0002,1,AAAA,100.0
0.0003,1,AAAA,100.0
0.0004,1,AAAA,100.0
0.0005,1,AAAA,100.0
0.0006,1,AAAA,100.0
0.0007,1,AAAA,100.0
0.0008,1,AAAA,100.0
0.0009,1,AAAA,100.0
0.001,1,AAAA,100.0
0.002,1,AAAA,100.0
0.003,1,AAAA,100.0
0.004,1,AAAA,100.0
0.005,1,AAAA,100.0
0.006,1,AAAA,100.0
0.007,1,AAAA,100.0
0.008,1,AAAA,100.0
0.009,1,AAAA,100.0
0.01,1,AAAA,100.0
0.02,1,AAAA,100.0
0.03,1,AAAA,100.0
0.04,1,AAAA,100.0
0.05,1,AAAA,100.0
0.06,1,AAAA,100.0
0.07,1,AAAA,100.0
0.08,1,AAAA,100.0
0.1,1,AAAA,100.0
0.09,1,AAAA,100.0
0.1,1,AAAA,100.0
0.2,1,AMAA,75.0
0.3,1,AAAA,100.0
0.4,1,ARAA,75.0
0.5,1,ARASA,50.0
0.6,0,,0.0
0.8,0,,0.0
0.7,0,,0.0
0.9,0,,0.0
1.0,0,,0.0
