Noise Strength,Text Detected,OCR Output,Accuracy
0.1,1,AAAA,100.0
0.09,1,AAAA,100.0
0.11,1,AAAA,100.0
0.12,1,AAAA,100.0
0.13,1,AAAA,100.0
0.14,1,AAAKA,75.0
0.15,1,AAAA,100.0
0.16,1,AAAA,100.0
0.17,1,AAAA,100.0
0.18,1,AAAA,100.0
0.19,1,AAAA,100.0
0.2,1,AAAA,100.0
0.21,1,AAAA,100.0
0.22,1,AAAA,100.0
0.23,1,AAAA,100.0
0.24,1,AAAA,100.0
0.25,1,AAAA,100.0
0.26,1,AAAA,100.0
0.27,1,KAAA,75.0
0.28,1,AAAA,100.0
0.29,1,AARAA,75.0
0.3,1,KAAA,75.0
0.31,1,AAKA,75.0
0.32,1,AAAA,100.0
0.33,1,AAAA,100.0
0.34,1,AAAA,100.0
0.35,0,,0.0
0.36,1,ARRAS,50.0
0.37,1,AAAS,75.0
0.38,1,AAAA,100.0
0.39,1,AAAA,100.0
0.4,1,AAAA,100.0
0.41,1,AAAA,100.0
0.42,0,,0.0
0.43,1,ARAAA,75.0
0.44,1,AAAA,100.0
0.45,1,AAAS,75.0
0.46,1,"OB

AA",0.0
0.47,0,,0.0
0.48,1,AAAA,100.0
0.49,1,ARAA,75.0
0.5,0,,0.0
0.51,1,AAAA,100.0
0.52,0,,0.0
0.53,1,AAAKA,75.0
0.54,1,"ae
a
sf",0.0
0.55,1,AAAA,100.0
0.56,0,,0.0
0.57,1,AAA,75.0
0.58,1,"Ss

RPA",0.0
0.59,0,,0.0
0.6,0,,0.0
0.61,1,AAAA,100.0
0.62,0,,0.0
0.63,1,AAAA,100.0
0.64,1,AAAA,100.0
0.65,1,AAA A,75.0
0.66,0,,0.0
0.67,0,,0.0
0.68,0,,0.0
0.69,0,,0.0
0.7,0,,0.0
0.71,0,,0.0
0.72,0,,0.0
0.73,0,,0.0
0.74,0,,0.0
0.75,0,,0.0
0.76,0,,0.0
0.77,0,,0.0
0.78,0,,0.0
0.79,0,,0.0
0.8,0,,0.0
0.81,0,,0.0
0.82,0,,0.0
0.83,0,,0.0
0.84,0,,0.0
0.85,0,,0.0
0.86,0,,0.0
0.87,0,,0.0
0.88,0,,0.0
0.89,0,,0.0
0.9,1,"4

AAA",25.0
0.91,0,,0.0
0.92,0,,0.0
0.93,0,,0.0
0.94,0,,0.0
0.95,0,,0.0
0.96,0,,0.0
0.97,0,,0.0
0.98,0,,0.0
0.99,0,,0.0
